konveksi,kodebarang,namabarang,deskripsi,hargamodal,dailyprice,anama,alink,bnama,blink,cnama,clink,dnama,dlink,aclick1,aclick2,aclick3,bclick1,bclick2,bclick3,cclick1,cclick2,cclick3,dclick1,dclick2,dclick3
ACNES,D8053,Acnes PointClear 9gr,D8053-Acnes-PointClear-9gr,19543,22733,DOMMO,https://shopee.co.id/DOMMO-D8053-Acnes-Natural-Care-Acne-Treatment-ALL-Series-Facial-Wash-Face-Wash-Lotion-Cleanser-i.135900627.9675925503?sp_atk=18be32e2-cbcc-4b94-9127-12b11a14e085,TNT,https://shopee.co.id/Acnes-Point-Clear-9gr-Gel-Transparant-i.744873.1705763419?sp_atk=c24e1125-05b5-4df3-b019-f1b81d790de4&xptdk=c24e1125-05b5-4df3-b019-f1b81d790de4,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-Acnes-Point-Clear-9ml-i.48382819.2373433458?sp_atk=d80bf465-0016-4a43-a3e1-e8c5089ce9c1&xptdk=d80bf465-0016-4a43-a3e1-e8c5089ce9c1,,,,,,,,,,,,,,
ACNES,D8053,Acnes PoreStrip ,D8053-Acnes-PoreStrip,9771,10945,DOMMO,https://shopee.co.id/DOMMO-D8053-Acnes-Natural-Care-Acne-Treatment-ALL-Series-Facial-Wash-Face-Wash-Lotion-Cleanser-i.135900627.9675925503?sp_atk=18be32e2-cbcc-4b94-9127-12b11a14e085,TNT,https://shopee.co.id/Acnes-Pore-Strip-3-Sheets-Masker-Komedo-i.744873.1705777264?sp_atk=0bc9ae84-ed08-4ff4-8b00-59c1c58e6b1d&xptdk=0bc9ae84-ed08-4ff4-8b00-59c1c58e6b1d,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-Acnes-Pore-Strip-isi-3-Sheets-(bye-komedo-nakal)-i.48382819.2393191314?sp_atk=43101962-ade5-4171-9d8f-1f44016fdceb&xptdk=43101962-ade5-4171-9d8f-1f44016fdceb,,,,,,,,,,,,,,
ACNES,D8053,Acnes SpotCare 12gr,D8053-Acnes-SpotCare-12gr,27059,31152,DOMMO,https://shopee.co.id/DOMMO-D8053-Acnes-Natural-Care-Acne-Treatment-ALL-Series-Facial-Wash-Face-Wash-Lotion-Cleanser-i.135900627.9675925503?sp_atk=18be32e2-cbcc-4b94-9127-12b11a14e085,TNT,https://shopee.co.id/Acnes-Spot-Care-12gr-Cream-Jerawat-Krim-i.744873.1705819031?sp_atk=660eef95-a827-418c-9251-7a229be8db07&xptdk=660eef95-a827-418c-9251-7a229be8db07,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-Acnes-Spot-Care-Gel-Transparan-Obat-Jerawat-12g-i.48382819.2373385029?sp_atk=267033c3-0022-461b-8c25-756f1c80a563&xptdk=267033c3-0022-461b-8c25-756f1c80a563,,,,,,,,,,,,,,
ACNES,D8053,Acnes StarterPack3in1 ,D8053-Acnes-StarterPack3in1,22556,42938,DOMMO,https://shopee.co.id/DOMMO-D8053-Acnes-Natural-Care-Acne-Treatment-ALL-Series-Facial-Wash-Face-Wash-Lotion-Cleanser-i.135900627.9675925503?sp_atk=18be32e2-cbcc-4b94-9127-12b11a14e085,TNT,https://shopee.co.id/Acnes-Natural-Care-Acne-Treatment-Series-Berjerawat-i.744873.1705796843?sp_atk=5b290891-526a-42ce-bb63-7a05ca886f9a&xptdk=5b290891-526a-42ce-bb63-7a05ca886f9a,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-Acnes-Starter-Pack-travel-kit-i.48382819.2494477129?sp_atk=8ae654c7-9dd8-4266-a13c-b4b0eb179168&xptdk=8ae654c7-9dd8-4266-a13c-b4b0eb179168,,,,,,,,,,,,,,
ACNES,D8053,Acnes WashingBar 80gr,D8053-Acnes-WashingBar-80gr,6765,7509,DOMMO,https://shopee.co.id/DOMMO-D8053-Acnes-Natural-Care-Acne-Treatment-ALL-Series-Facial-Wash-Face-Wash-Lotion-Cleanser-i.135900627.9675925503?sp_atk=18be32e2-cbcc-4b94-9127-12b11a14e085,TNT,https://shopee.co.id/Acnes-Washing-Bar-80gr-Sabun-Batang-Sabun-Jerawat-i.744873.1726308934?sp_atk=8dc85db6-37df-4afa-b5e2-3ef9d2056d0c&xptdk=8dc85db6-37df-4afa-b5e2-3ef9d2056d0c,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-Acnes-Creamy-Wash-Foaming-Washing-Bar-50g-80g-100g-Sabun-cuci-muka-anti-jerawat-badan-i.48382819.2374535299?sp_atk=080a3693-a063-4d09-b94d-d898460157b7&xptdk=080a3693-a063-4d09-b94d-d898460157b7,,,,,,,,,,,,,,
ACNES,D8053,Acnes CompleteWhite 100gr,D8053-Acnes-CompleteWhite-100gr,22925,25678,DOMMO,https://shopee.co.id/DOMMO-D8053-Acnes-Natural-Care-Acne-Treatment-ALL-Series-Facial-Wash-Face-Wash-Lotion-Cleanser-i.135900627.9675925503?sp_atk=18be32e2-cbcc-4b94-9127-12b11a14e085,TNT,https://shopee.co.id/Acnes-Creamy-Wash-Foaming-WashingBar-Complete-White-Oil-Control-Sabun-Cuci-Muka-Anti-Jerawat-Badan-i.744873.7649562353?sp_atk=b33a2183-3c71-4db5-9b89-74bfd46d5746&xptdk=b33a2183-3c71-4db5-9b89-74bfd46d5746,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-Acnes-Creamy-Wash-Foaming-Washing-Bar-50g-80g-100g-Sabun-cuci-muka-anti-jerawat-badan-i.48382819.2374535299?sp_atk=080a3693-a063-4d09-b94d-d898460157b7&xptdk=080a3693-a063-4d09-b94d-d898460157b7,,,,,,,,,,,,,,
ACNES,D8053,Acnes CompleteWhite 50gr,D8053-Acnes-CompleteWhite-50gr,13575,13157,DOMMO,https://shopee.co.id/DOMMO-D8053-Acnes-Natural-Care-Acne-Treatment-ALL-Series-Facial-Wash-Face-Wash-Lotion-Cleanser-i.135900627.9675925503?sp_atk=18be32e2-cbcc-4b94-9127-12b11a14e085,TNT,https://shopee.co.id/Acnes-Creamy-Wash-Foaming-WashingBar-Complete-White-Oil-Control-Sabun-Cuci-Muka-Anti-Jerawat-Badan-i.744873.7649562353?sp_atk=b33a2183-3c71-4db5-9b89-74bfd46d5746&xptdk=b33a2183-3c71-4db5-9b89-74bfd46d5746,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-Acnes-Creamy-Wash-Foaming-Washing-Bar-50g-80g-100g-Sabun-cuci-muka-anti-jerawat-badan-i.48382819.2374535299?sp_atk=080a3693-a063-4d09-b94d-d898460157b7&xptdk=080a3693-a063-4d09-b94d-d898460157b7,,,,,,,,,,,,,,
ACNES,D8053,Acnes CreamyWash 100gr,D8053-Acnes-CreamyWash-100gr,21092,23624,DOMMO,https://shopee.co.id/DOMMO-D8053-Acnes-Natural-Care-Acne-Treatment-ALL-Series-Facial-Wash-Face-Wash-Lotion-Cleanser-i.135900627.9675925503?sp_atk=18be32e2-cbcc-4b94-9127-12b11a14e085,TNT,https://shopee.co.id/Acnes-Creamy-Wash-Foaming-WashingBar-Complete-White-Oil-Control-Sabun-Cuci-Muka-Anti-Jerawat-Badan-i.744873.7649562353?sp_atk=b33a2183-3c71-4db5-9b89-74bfd46d5746&xptdk=b33a2183-3c71-4db5-9b89-74bfd46d5746,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-Acnes-Creamy-Wash-Foaming-Washing-Bar-50g-80g-100g-Sabun-cuci-muka-anti-jerawat-badan-i.48382819.2374535299?sp_atk=080a3693-a063-4d09-b94d-d898460157b7&xptdk=080a3693-a063-4d09-b94d-d898460157b7,,,,,,,,,,,,,,
ACNES,D8053,Acnes CreamyWash 50gr,D8053-Acnes-CreamyWash-50gr,12778,14312,DOMMO,https://shopee.co.id/DOMMO-D8053-Acnes-Natural-Care-Acne-Treatment-ALL-Series-Facial-Wash-Face-Wash-Lotion-Cleanser-i.135900627.9675925503?sp_atk=18be32e2-cbcc-4b94-9127-12b11a14e085,TNT,https://shopee.co.id/Acnes-Creamy-Wash-Foaming-WashingBar-Complete-White-Oil-Control-Sabun-Cuci-Muka-Anti-Jerawat-Badan-i.744873.7649562353?sp_atk=b33a2183-3c71-4db5-9b89-74bfd46d5746&xptdk=b33a2183-3c71-4db5-9b89-74bfd46d5746,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-Acnes-Creamy-Wash-Foaming-Washing-Bar-50g-80g-100g-Sabun-cuci-muka-anti-jerawat-badan-i.48382819.2374535299?sp_atk=080a3693-a063-4d09-b94d-d898460157b7&xptdk=080a3693-a063-4d09-b94d-d898460157b7,,,,,,,,,,,,,,
ACNES,D8053,Acnes DeepPore 100gr,D8053-Acnes-DeepPore-100gr,22925,25678,DOMMO,https://shopee.co.id/DOMMO-D8053-Acnes-Natural-Care-Acne-Treatment-ALL-Series-Facial-Wash-Face-Wash-Lotion-Cleanser-i.135900627.9675925503?sp_atk=18be32e2-cbcc-4b94-9127-12b11a14e085,TNT,https://shopee.co.id/Acnes-Creamy-Wash-Foaming-WashingBar-Complete-White-Oil-Control-Sabun-Cuci-Muka-Anti-Jerawat-Badan-i.744873.7649562353?sp_atk=b33a2183-3c71-4db5-9b89-74bfd46d5746&xptdk=b33a2183-3c71-4db5-9b89-74bfd46d5746,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-Acnes-Creamy-Wash-Foaming-Washing-Bar-50g-80g-100g-Sabun-cuci-muka-anti-jerawat-badan-i.48382819.2374535299?sp_atk=080a3693-a063-4d09-b94d-d898460157b7&xptdk=080a3693-a063-4d09-b94d-d898460157b7,,,,,,,,,,,,,,
