konveksi,kodebarang,namabarang,deskripsi,hargamodal,dailyprice,linkproduk,anamapesaing,alinkpesaing,bnamapesaing,blinkpesaing
AZARINE,D8141,AcneClayMask,D8141-Azarine-AcneClayMask,46020,54999,https://shopee.co.id/DOMMO-D8141-AZARINE-ACNE-SERIES-Acne-Spot-Gel-Cleansing-Foam-Daily-Moist-i.135900627.16815030250?sp_atk=082f6615-7070-430e-ac8e-9d9885f9078a&xptdk=082f6615-7070-430e-ac8e-9d9885f9078a,TNT,https://shopee.co.id/Azarine-Anti-Acne-SERIES-Cleansing-Foam-60ml-Acne-Spot-Gel-15gr-Anti-Acne-Serum-20ml-Azarine-Face-Toner-90ml-i.744873.8341224932?sp_atk=829c43de-1b6f-4b8e-aa9d-c5670085aa49&xptdk=829c43de-1b6f-4b8e-aa9d-c5670085aa49,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-AZARINE-Intense-Acne-Repair-Series-Acne-Gentle-Cleansing-Foam-Acne-Spot-Gel-(%E2%9C%94%EF%B8%8FBPOM)-i.48382819.7159351197?sp_atk=3dd309aa-6917-48db-a530-820a3bb7a5bc&xptdk=3dd309aa-6917-48db-a530-820a3bb7a5bc
AZARINE,D8141,AcneCleansingFoam,D8141-Azarine-AcneCleansingFoam,23400,26900,https://shopee.co.id/DOMMO-D8141-AZARINE-ACNE-SERIES-Acne-Spot-Gel-Cleansing-Foam-Daily-Moist-i.135900627.16815030250?sp_atk=082f6615-7070-430e-ac8e-9d9885f9078a&xptdk=082f6615-7070-430e-ac8e-9d9885f9078a,TNT,https://shopee.co.id/Azarine-Anti-Acne-SERIES-Cleansing-Foam-60ml-Acne-Spot-Gel-15gr-Anti-Acne-Serum-20ml-Azarine-Face-Toner-90ml-i.744873.8341224932?sp_atk=829c43de-1b6f-4b8e-aa9d-c5670085aa49&xptdk=829c43de-1b6f-4b8e-aa9d-c5670085aa49,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-AZARINE-Intense-Acne-Repair-Series-Acne-Gentle-Cleansing-Foam-Acne-Spot-Gel-(%E2%9C%94%EF%B8%8FBPOM)-i.48382819.7159351197?sp_atk=3dd309aa-6917-48db-a530-820a3bb7a5bc&xptdk=3dd309aa-6917-48db-a530-820a3bb7a5bc
AZARINE,D8141,AcneDailyMoist,D8141-Azarine-AcneDailyMoist,40907,54999,https://shopee.co.id/DOMMO-D8141-AZARINE-ACNE-SERIES-Acne-Spot-Gel-Cleansing-Foam-Daily-Moist-i.135900627.16815030250?sp_atk=082f6615-7070-430e-ac8e-9d9885f9078a&xptdk=082f6615-7070-430e-ac8e-9d9885f9078a,TNT,https://shopee.co.id/Azarine-Anti-Acne-SERIES-Cleansing-Foam-60ml-Acne-Spot-Gel-15gr-Anti-Acne-Serum-20ml-Azarine-Face-Toner-90ml-i.744873.8341224932?sp_atk=829c43de-1b6f-4b8e-aa9d-c5670085aa49&xptdk=829c43de-1b6f-4b8e-aa9d-c5670085aa49,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-AZARINE-Intense-Acne-Repair-Series-Acne-Gentle-Cleansing-Foam-Acne-Spot-Gel-(%E2%9C%94%EF%B8%8FBPOM)-i.48382819.7159351197?sp_atk=3dd309aa-6917-48db-a530-820a3bb7a5bc&xptdk=3dd309aa-6917-48db-a530-820a3bb7a5bc
AZARINE,D8141,AcnePoreTightening,D8141-Azarine-AcnePoreTightening,31200,38500,https://shopee.co.id/DOMMO-D8141-AZARINE-ACNE-SERIES-Acne-Spot-Gel-Cleansing-Foam-Daily-Moist-i.135900627.16815030250?sp_atk=082f6615-7070-430e-ac8e-9d9885f9078a&xptdk=082f6615-7070-430e-ac8e-9d9885f9078a,TNT,https://shopee.co.id/Azarine-Anti-Acne-SERIES-Cleansing-Foam-60ml-Acne-Spot-Gel-15gr-Anti-Acne-Serum-20ml-Azarine-Face-Toner-90ml-i.744873.8341224932?sp_atk=829c43de-1b6f-4b8e-aa9d-c5670085aa49&xptdk=829c43de-1b6f-4b8e-aa9d-c5670085aa49,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-AZARINE-Intense-Acne-Repair-Series-Acne-Gentle-Cleansing-Foam-Acne-Spot-Gel-(%E2%9C%94%EF%B8%8FBPOM)-i.48382819.7159351197?sp_atk=3dd309aa-6917-48db-a530-820a3bb7a5bc&xptdk=3dd309aa-6917-48db-a530-820a3bb7a5bc
AZARINE,D8141,AcneSpotGel,D8141-Azarine-AcneSpotGel,30030,32799,https://shopee.co.id/DOMMO-D8141-AZARINE-ACNE-SERIES-Acne-Spot-Gel-Cleansing-Foam-Daily-Moist-i.135900627.16815030250?sp_atk=082f6615-7070-430e-ac8e-9d9885f9078a&xptdk=082f6615-7070-430e-ac8e-9d9885f9078a,TNT,https://shopee.co.id/Azarine-Anti-Acne-SERIES-Cleansing-Foam-60ml-Acne-Spot-Gel-15gr-Anti-Acne-Serum-20ml-Azarine-Face-Toner-90ml-i.744873.8341224932?sp_atk=829c43de-1b6f-4b8e-aa9d-c5670085aa49&xptdk=829c43de-1b6f-4b8e-aa9d-c5670085aa49,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-AZARINE-Intense-Acne-Repair-Series-Acne-Gentle-Cleansing-Foam-Acne-Spot-Gel-(%E2%9C%94%EF%B8%8FBPOM)-i.48382819.7159351197?sp_atk=3dd309aa-6917-48db-a530-820a3bb7a5bc&xptdk=3dd309aa-6917-48db-a530-820a3bb7a5bc
AZARINE,D8141,AntiAcne Serum,D8141-Azarine-AntiAcne-Serum,19000,22999,https://shopee.co.id/DOMMO-D8141-AZARINE-ACNE-SERIES-Acne-Spot-Gel-Cleansing-Foam-Daily-Moist-i.135900627.16815030250?sp_atk=468e1662-1b74-45d9-a956-0d0000fba2b2&xptdk=468e1662-1b74-45d9-a956-0d0000fba2b2,TNT,https://shopee.co.id/Azarine-Anti-Acne-SERIES-Cleansing-Foam-60ml-Acne-Spot-Gel-15gr-Anti-Acne-Serum-20ml-Azarine-Face-Toner-90ml-i.744873.8341224932?sp_atk=829c43de-1b6f-4b8e-aa9d-c5670085aa49&xptdk=829c43de-1b6f-4b8e-aa9d-c5670085aa49,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-AZARINE-Intense-Acne-Repair-Series-Acne-Gentle-Cleansing-Foam-Acne-Spot-Gel-(%E2%9C%94%EF%B8%8FBPOM)-i.48382819.7159351197?sp_atk=3dd309aa-6917-48db-a530-820a3bb7a5bc&xptdk=3dd309aa-6917-48db-a530-820a3bb7a5bc
AZARINE,D8141,AntiAging Serum,D8141-Azarine-AntiAging-Serum,49140,64499,https://shopee.co.id/DOMMO-D8141-Azarine-Miraclear-Herbal-Peeling-Serum-AHA-BHA-20ml-Revitalizing-Serum-i.135900627.16215071159?sp_atk=0e1d3142-63d2-460a-ae95-78cf90bfd9c2&xptdk=0e1d3142-63d2-460a-ae95-78cf90bfd9c2,TNT,https://shopee.co.id/Azarine-Serum-Anti-Aging-Anti-Acne-Peeling-Lightening-20ml-Azarine-Superhero-Serum-Marvel-Edition-SERIES-i.744873.10234279490?sp_atk=0c4e3b6e-2ea5-48f4-a7f5-3139d347eb68&xptdk=0c4e3b6e-2ea5-48f4-a7f5-3139d347eb68,BELIA,-
AZARINE,,AZR Sunscreen Mist,Azarine-Sunscreen-Mist-60ml,46020,50499,-,TNT,https://shopee.co.id/Azarine-Hydrasoothe-Sunscreen-Gel-SPF45-PA-Azarine-Sun-Screen-Tabir-Surya-Cream-AZARINE-Hydramax-C-Suncreen-Serum-SPF-50-AZARINE-Tone-Up-Mineral-Suncreen-Serum-SPF-50-AZARINE-Hydrasoothe-Sunscreen-Mist-SPF-50-PA--i.744873.3032751965?sp_atk=497bf447-1f30-4b96-96a2-f521ae36bedd&xptdk=497bf447-1f30-4b96-96a2-f521ae36bedd,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-AZARINE-Aqua-Essence-Sun-Shield-Serum-SPF-50-PA-Hydrasoothe-Sunscreen-Gel-SPF45--i.48382819.9210248666?sp_atk=a7635cba-e71f-4bd5-83c0-e55ac82fd28d&xptdk=a7635cba-e71f-4bd5-83c0-e55ac82fd28d
AZARINE,,AZR Sunscreen ToneUP,Azarine-Sunscreen-ToneUP-27ml,53820,59499,-,TNT,https://shopee.co.id/Azarine-Hydrasoothe-Sunscreen-Gel-SPF45-PA-Azarine-Sun-Screen-Tabir-Surya-Cream-AZARINE-Hydramax-C-Suncreen-Serum-SPF-50-AZARINE-Tone-Up-Mineral-Suncreen-Serum-SPF-50-AZARINE-Hydrasoothe-Sunscreen-Mist-SPF-50-PA--i.744873.3032751965?sp_atk=497bf447-1f30-4b96-96a2-f521ae36bedd&xptdk=497bf447-1f30-4b96-96a2-f521ae36bedd,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-AZARINE-Aqua-Essence-Sun-Shield-Serum-SPF-50-PA-Hydrasoothe-Sunscreen-Gel-SPF45--i.48382819.9210248666?sp_atk=a7635cba-e71f-4bd5-83c0-e55ac82fd28d&xptdk=a7635cba-e71f-4bd5-83c0-e55ac82fd28d
AZARINE,D8141,BlackheadMask,D8141-Azarine-BlackheadMask,34500,38500,https://shopee.co.id/DOMMO-D8141-AZARINE-ACNE-SERIES-Acne-Spot-Gel-Cleansing-Foam-Daily-Moist-i.135900627.16815030250?sp_atk=468e1662-1b74-45d9-a956-0d0000fba2b2&xptdk=468e1662-1b74-45d9-a956-0d0000fba2b2,TNT,https://shopee.co.id/Azarine-Anti-Acne-SERIES-Cleansing-Foam-60ml-Acne-Spot-Gel-15gr-Anti-Acne-Serum-20ml-Azarine-Face-Toner-90ml-i.744873.8341224932?sp_atk=829c43de-1b6f-4b8e-aa9d-c5670085aa49&xptdk=829c43de-1b6f-4b8e-aa9d-c5670085aa49,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-AZARINE-Intense-Acne-Repair-Series-Acne-Gentle-Cleansing-Foam-Acne-Spot-Gel-(%E2%9C%94%EF%B8%8FBPOM)-i.48382819.7159351197?sp_atk=3dd309aa-6917-48db-a530-820a3bb7a5bc&xptdk=3dd309aa-6917-48db-a530-820a3bb7a5bc
