konveksi,kodebarang,namabarang,deskripsi,hargamodal,dailyprice,linkproduk,hargaproduk,anamapesaing,ahargapesaing,alinkpesaing,bnamapesaing,bhargapesaing,blinkpesaing
DONI,D1068,LOVE PART 2,D1068 LOVE PART 2,12179,14500,https://shopee.co.id/-LOKAL-DOMMO-TAS-LOVE-PART-2-D1068-Bacpack-Mikro-Tas-Ransel-Fashion-MORYMONY-COD-NATSYA-i.135900627.3409684750?sp_atk=2392e93e-3091-4520-b64a-7ba9d40f0214,14500,MORY MONY,-,-,REYRESHY,-,-
DONI,D1069,AGNES - TAS RANSEL BACKPACK FASHION MORYMONY BISA COD DARI JAKARTA,D1069 AGNES - TAS RANSEL BACKPACK FASHION MORYMONY BISA COD DARI JAKARTA,11120,15000,https://shopee.co.id/-LOKAL-DOMMO-D1069-AGNES-Tas-Ransel-Backpack-Fashion-MORYMONY-BISA-COD-DARI-JAKARTA-i.135900627.6609605264?sp_atk=c75c7be6-5f56-48ce-9581-b022c10eca7a&xptdk=c75c7be6-5f56-48ce-9581-b022c10eca7a,15000,MORY MONY,15000,https://shopee.co.id/MORYMONY-AGNES-Tas-Ransel-Backpack-Fashion-i.20287667.2864230299?sp_atk=c070f83d-47e7-4452-b2bc-498ee3a6f588&xptdk=c070f83d-47e7-4452-b2bc-498ee3a6f588,REYRESHY,15500,https://shopee.co.id/RR-AGNES-Tas-Ransel-Backpack-Fashion-i.154549401.3643013454?sp_atk=4cdf7faa-8dbb-4878-9e35-b613425285be&xptdk=4cdf7faa-8dbb-4878-9e35-b613425285be
DONI,D1070,CYNTHIA,D1070 CYNTHIA,12180,13999,https://shopee.co.id/-LOKAL--D1070-Backpack-Cynthia-Backpack-Micro-Tas-Ransel-Fashion-MORYMONY-i.135900627.5409587205?sp_atk=16bbc0ca-98e2-4695-af28-4961d431d5d4,13999,MORY MONY,13000,https://shopee.co.id/Backpack-Micro-Tas-Ransel-Fashion-Morymony-i.20287667.2156995141?sp_atk=f98a98a0-d783-4cca-b45a-71793ea8b4e5,REYRESHY,-,-
DONI,D1071,MIKO,D1071 MIKO,13485,16500,https://shopee.co.id/-LOKAL--D1071-TAS-MIKO-Tas-Ransel-Backpack-Fashion-Bahan-Mikro-MORYMONY-BISA-COD-i.135900627.6109585188?sp_atk=dd97f64d-79dd-4646-a550-6302864f558e,16500,MORY MONY,-,-,REYRESHY,-,-
DONI,D1072,MILEA,D1072 MILEA,13050,17999,https://shopee.co.id/-LOKAL--D1072-TAS-MILEA-Tas-Ransel-Backpack-(Bisa-Ransel-Bisa-Selempang)-MORYMONY-i.135900627.7309583284?sp_atk=74495a6a-ec01-4fb4-a880-b6a1dd6ef139,17999,MORY MONY,-,https://shopee.co.id/MORYMONY-TAS-MILEA-Tas-Ransel-Backpack-(-Bisa-Ransel-Bisa-Selempang-)-i.20287667.1873407400?sp_atk=fb5f7483-9e4f-41c1-9e4f-2c159f08c5c9,REYRESHY,18500,https://shopee.co.id/RR-TAS-MILEA-Tas-Ransel-Backpack-(Bisa-Ransel-Bisa-Selempang)-i.154549401.6638051789?sp_atk=1641361f-8cf1-4bac-b632-4331711c9d0c&xptdk=1641361f-8cf1-4bac-b632-4331711c9d0c
DONI,D1076,IZY,D1076 IZY,9500,10999,https://shopee.co.id/-LOKAL--D1076-WAISTBAG-IZY-TAS-PINGGANG-WANITA-MORYMONY-SLINGBAG-BISA-COD-JAKARTA-i.135900627.3408740720?sp_atk=164e6977-8fd9-4399-a5d0-163ad8e5d4f2,10999,MORY MONY,10000,https://shopee.co.id/WAISTBAG-MORYMONY-IZY-Tas-Pinggang-Wanita-i.20287667.1410993379?sp_atk=df7c3406-60fc-4e75-b253-8404514e1a2a,REYRESHY,12500,https://shopee.co.id/RR-WAISTBAG-MORYMONY-IZY-Tas-Pinggang-Wanita-i.154549401.3532145070?sp_atk=8504d4b6-edeb-4c19-8691-10497da7808f&xptdk=8504d4b6-edeb-4c19-8691-10497da7808f
DONI,D1080,POM POM,D1080 POM POM,400,550,https://shopee.co.id/-LOKAL--D1080-POMPOM-POM-Gantungan-Tas-Ransel-Selempang-Tote-MORYMONY-BISA-COD-JAKARTA-CO100-i.135900627.5765063136?sp_atk=aa098acd-30ed-4eee-900c-cc2db00c1e0c,550,MORY MONY,585,https://shopee.co.id/POMPOM-Gantungan-Tas-Ransel-Selempang-Tote-Totebag-Slingbag-Shoulder-Wanita-Murah-Lucu-Kpop-Bts-i.20287667.995073047?sp_atk=e48a705f-632b-4247-b6e6-edd295eaf715,REYRESHY,-,-
DONI,D1085,LOVE LOVE,D1085 LOVE LOVE,12615,14999,https://shopee.co.id/-LOKAL--D1085-Backpack-TAS-LOVE-LOVE-Backpack-Micro-Tas-Ransel-Fashion-Morymony-i.135900627.4508614344?sp_atk=7620c383-c084-4383-b88f-ac24048f6e5e,14999,MORY MONY,-,https://shopee.co.id/MORYMONY-TAS-LOVE-LOVE-Backpack-Micro-Tas-Ransel-Fashion-i.20287667.1901492824?sp_atk=829d212b-5237-4dda-937a-ec86ba28266a,REYRESHY,16000,https://shopee.co.id/RR-TAS-LOVE-LOVE-Backpack-Micro-Tas-Ransel-Fashion-i.154549401.3901496195?sp_atk=d76e08dd-c90c-4989-bc3a-9e9e5ea4ebd8&xptdk=d76e08dd-c90c-4989-bc3a-9e9e5ea4ebd8
DONI,D1087,LIDYA,D1087 LIDYA,7500,9600,https://shopee.co.id/-LOKAL--D1087-TAS-TOTEBAG-LIDYA-Tote-Bag-Wanita-MORYMONY-i.135900627.5608611925?sp_atk=08de2ac4-f91a-4ca2-8ed6-529d89995936,9600,MORY MONY,-,https://shopee.co.id/MORYMONY-LIDYA-Tote-Bag-Wanita-i.20287667.2874064517?sp_atk=6fd32cb0-424f-438f-9e96-99d4e241694d,REYRESHY,-,-
DONI,D1094,KASAMI,D1094 KASAMI,7830,8999,https://shopee.co.id/-LOKAL-DOMMO-D1094-KASAMI-Tote-Bag-MORYMONY-BISA-COD-DARI-JAKARTA-TAS-SELEMPANG-WANITA-i.135900627.5908627908?sp_atk=f1fbaf4a-5db5-4a19-83bd-d0489a64d4f3&xptdk=f1fbaf4a-5db5-4a19-83bd-d0489a64d4f3,8999,MORY MONY,-,https://shopee.co.id/MORYMONY-KASAMI-Totebag-Tas-Selempang-Tote-Bag-Murah-i.20287667.7301266408?sp_atk=fe87565f-cee1-4780-9834-ead8b981ae4c,REYRESHY,10000,https://shopee.co.id/RR-KASAMI-Tas-Tote-Bag-wanita-Pakai-Resleting-i.154549401.5937724629?sp_atk=69b7cc80-8130-4720-98ff-2ceda85ac386&xptdk=69b7cc80-8130-4720-98ff-2ceda85ac386
