konveksi,kodebarang,namabarang,deskripsi,hargamodal,dailyprice,anama,alink,bnama,blink,cnama,clink,dnama,dlink,aclick1,aclick2,aclick3,bclick1,bclick2,bclick3,cclick1,cclick2,cclick3,dclick1,dclick2,dclick3
EVERWHITE,D8070,AcnePair-Cream,D8070-EverWhite-AcnePair-Cream,56250,71250,DOMMO,https://shopee.co.id/DOMMO-D8070-EverWhite-atau-EverSlim-Ever-White-Ever-Slim-Paket-i.135900627.11218789321?sp_atk=49c899ea-f0a1-48c6-8a67-334519d9af6f,PAMELO,https://shopee.co.id/%E2%9D%A4%EF%B8%8F-Pamelo-%E2%9D%A4%EF%B8%8FEverWhite-atau-EverSlim-Ever-White-Ever-Slim-Paket-i.402110126.3066483654?sp_atk=910baf46-38ec-4d39-bfe3-a35f8e7ec0a5,TNT,,BELIA,,,,,,,,,,,,,
EVERWHITE,D8070,AcnePair-FacialWash,D8070-EverWhite-AcnePair-FacialWash,39000,49400,DOMMO,https://shopee.co.id/DOMMO-D8070-EverWhite-atau-EverSlim-Ever-White-Ever-Slim-Paket-i.135900627.11218789321?sp_atk=49c899ea-f0a1-48c6-8a67-334519d9af6f,PAMELO,https://shopee.co.id/%E2%9D%A4%EF%B8%8F-Pamelo-%E2%9D%A4%EF%B8%8FEverWhite-atau-EverSlim-Ever-White-Ever-Slim-Paket-i.402110126.3066483654?sp_atk=910baf46-38ec-4d39-bfe3-a35f8e7ec0a5,TNT,,BELIA,,,,,,,,,,,,,
EVERWHITE,D8070,AcnePair-Toner,D8070-EverWhite-AcnePair-Toner,54000,68400,DOMMO,https://shopee.co.id/DOMMO-D8070-EverWhite-atau-EverSlim-Ever-White-Ever-Slim-Paket-i.135900627.11218789321?sp_atk=49c899ea-f0a1-48c6-8a67-334519d9af6f,PAMELO,https://shopee.co.id/%E2%9D%A4%EF%B8%8F-Pamelo-%E2%9D%A4%EF%B8%8FEverWhite-atau-EverSlim-Ever-White-Ever-Slim-Paket-i.402110126.3066483654?sp_atk=910baf46-38ec-4d39-bfe3-a35f8e7ec0a5,TNT,,BELIA,,,,,,,,,,,,,
EVERWHITE,D8070,AHABHA-PeelingSerum,D8070-EverWhite-AHABHA-PeelingSerum,87750,111150,DOMMO,https://shopee.co.id/DOMMO-D8070-EverWhite-atau-EverSlim-Ever-White-Ever-Slim-Paket-i.135900627.11218789321?sp_atk=49c899ea-f0a1-48c6-8a67-334519d9af6f,PAMELO,https://shopee.co.id/%E2%9D%A4%EF%B8%8F-Pamelo-%E2%9D%A4%EF%B8%8FEverWhite-atau-EverSlim-Ever-White-Ever-Slim-Paket-i.402110126.3066483654?sp_atk=910baf46-38ec-4d39-bfe3-a35f8e7ec0a5,TNT,https://shopee.co.id/Everwhite-Serum-Brightening-Essence-Anti-Aging-Serum-Cica-Soothing-Eye-Cream-Niacinamide-i.744873.3984414904?sp_atk=30dc49b2-af16-4ee7-a119-bbd196b93a55&xptdk=30dc49b2-af16-4ee7-a119-bbd196b93a55,BELIA,,,,,,,,,,,,,
EVERWHITE,D8070,AntiAging-Serum,D8070-EverWhite-AntiAging-Serum,95250,120650,DOMMO,https://shopee.co.id/DOMMO-D8070-EverWhite-atau-EverSlim-Ever-White-Ever-Slim-Paket-i.135900627.11218789321?sp_atk=49c899ea-f0a1-48c6-8a67-334519d9af6f,PAMELO,https://shopee.co.id/%E2%9D%A4%EF%B8%8F-Pamelo-%E2%9D%A4%EF%B8%8FEverWhite-atau-EverSlim-Ever-White-Ever-Slim-Paket-i.402110126.3066483654?sp_atk=910baf46-38ec-4d39-bfe3-a35f8e7ec0a5,TNT,https://shopee.co.id/Everwhite-Serum-Brightening-Essence-Anti-Aging-Serum-Cica-Soothing-Eye-Cream-Niacinamide-i.744873.3984414904?sp_atk=30dc49b2-af16-4ee7-a119-bbd196b93a55&xptdk=30dc49b2-af16-4ee7-a119-bbd196b93a55,BELIA,,,,,,,,,,,,,
EVERWHITE,D8070,No Name,,0,0,DOMMO,https://shopee.co.id/DOMMO-D8070-EverWhite-atau-EverSlim-Ever-White-Ever-Slim-Paket-i.135900627.11218789321?sp_atk=49c899ea-f0a1-48c6-8a67-334519d9af6f,PAMELO,https://shopee.co.id/%E2%9D%A4%EF%B8%8F-Pamelo-%E2%9D%A4%EF%B8%8FEverWhite-atau-EverSlim-Ever-White-Ever-Slim-Paket-i.402110126.3066483654?sp_atk=910baf46-38ec-4d39-bfe3-a35f8e7ec0a5,TNT,,BELIA,,,,,,,,,,,,,
EVERWHITE,D8070,AxillaryCream-30gr,D8070-EverWhite-AxillaryCream-30gr,61750,77142,DOMMO,https://shopee.co.id/DOMMO-D8070-EverWhite-atau-EverSlim-Ever-White-Ever-Slim-Paket-i.135900627.11218789321?sp_atk=49c899ea-f0a1-48c6-8a67-334519d9af6f,PAMELO,https://shopee.co.id/%E2%9D%A4%EF%B8%8F-Pamelo-%E2%9D%A4%EF%B8%8FEverWhite-atau-EverSlim-Ever-White-Ever-Slim-Paket-i.402110126.3066483654?sp_atk=910baf46-38ec-4d39-bfe3-a35f8e7ec0a5,TNT,,BELIA,,,,,,,,,,,,,
EVERWHITE,D8070,BeBright-DayCream,D8070-EverWhite-BeBright-DayCream,71250,90250,DOMMO,https://shopee.co.id/DOMMO-D8070-EverWhite-atau-EverSlim-Ever-White-Ever-Slim-Paket-i.135900627.11218789321?sp_atk=49c899ea-f0a1-48c6-8a67-334519d9af6f,PAMELO,https://shopee.co.id/%E2%9D%A4%EF%B8%8F-Pamelo-%E2%9D%A4%EF%B8%8FEverWhite-atau-EverSlim-Ever-White-Ever-Slim-Paket-i.402110126.3066483654?sp_atk=910baf46-38ec-4d39-bfe3-a35f8e7ec0a5,TNT,,BELIA,,,,,,,,,,,,,
EVERWHITE,D8070,BeBright-EsseToner,D8070-EverWhite-BeBright-EsseToner,58500,74100,DOMMO,https://shopee.co.id/DOMMO-D8070-EverWhite-atau-EverSlim-Ever-White-Ever-Slim-Paket-i.135900627.11218789321?sp_atk=49c899ea-f0a1-48c6-8a67-334519d9af6f,PAMELO,https://shopee.co.id/%E2%9D%A4%EF%B8%8F-Pamelo-%E2%9D%A4%EF%B8%8FEverWhite-atau-EverSlim-Ever-White-Ever-Slim-Paket-i.402110126.3066483654?sp_atk=910baf46-38ec-4d39-bfe3-a35f8e7ec0a5,TNT,,BELIA,,,,,,,,,,,,,
EVERWHITE,D8070,BeBright-NightCream,D8070-EverWhite-BeBright-NightCream,86250,92250,DOMMO,https://shopee.co.id/DOMMO-D8070-EverWhite-atau-EverSlim-Ever-White-Ever-Slim-Paket-i.135900627.11218789321?sp_atk=49c899ea-f0a1-48c6-8a67-334519d9af6f,PAMELO,https://shopee.co.id/%E2%9D%A4%EF%B8%8F-Pamelo-%E2%9D%A4%EF%B8%8FEverWhite-atau-EverSlim-Ever-White-Ever-Slim-Paket-i.402110126.3066483654?sp_atk=910baf46-38ec-4d39-bfe3-a35f8e7ec0a5,TNT,,BELIA,,,,,,,,,,,,,
