konveksi,kodebarang,namabarang,deskripsi,hargamodal,dailyprice,linkproduk,anamapesaing,alinkpesaing,bnamapesaing,blinkpesaing
IOSM,D1019,TUTUP V GOLD,D1019 TUTUP V GOLD,19866,21999,https://shopee.co.id/-IMPOR--D1019-TUTUP-V-GOLD-Dari-Jakarta-BISA-COD-TAS-SELEMPANG-MODEL-TAS-IMPORT-i.135900627.2060297524?sp_atk=e395a5c4-1e93-4496-a938-f104be7da496,OSM,-,SK,-
IOSM,D1164,TAS RANSEL PUM,D1164 TAS RANSEL PUM,0,23200,https://shopee.co.id/-IMPOR--D1164-TAS-RANSEL-PUM-BISA-COD-Dari-Jakarta-Tas-Ransel-Tas-Wanita-Tas-Punggung-i.135900627.6417093655?sp_atk=64ba1a37-e337-4f5c-b2ce-f954d3d73e48,OSM,-,SK,-
IOSM,D1165,TAS SERUT 2 WARNA BISA COD TAS SELEMPANG SERUT,D1165 TAS SERUT 2 WARNA BISA COD TAS SELEMPANG SERUT,14580,21144,https://shopee.co.id/-IMPOR--D1165-TAS-SERUT-2-WARNA-BISA-COD-Tas-Selempang-Serut-Tas-Wanita-Dari-Jakarta-i.135900627.4917094051?sp_atk=654c3be4-e261-4674-afac-207140b27bb5,OSM,https://shopee.co.id/OSM-T330-Tas-Selempang-Serut-2-Warna-Tas-Wanita-Slingbag-TasSlempang-Wanita-Import-Batam-i.26616655.2155904393?sp_atk=d7376a45-657e-4404-83f5-45c4939fc85a,SK,-
IOSM,D1168,BISA COD DARI JAKARTA DOMPET LIPAT MINI IMPORT,D1168 BISA COD - DARI JAKARTA - DOMPET LIPAT MINI IMPORT,13000,0,https://shopee.co.id/-IMPOR--D1168-BISA-COD-Dari-Jakarta-Dompet-Lipat-Mini-Import-Dompet-Wanita-MORYMONY-i.135900627.4517095036?sp_atk=40950c6c-234f-4e19-bac4-e5502a089b81,OSM,-,SK,-
IOSM,D1178,BISA COD DARI JAKARTA (FREE SYAL),D1178 BISA COD - DARI JAKARTA (FREE SYAL),0,23200,https://shopee.co.id/-IMPOR--D1178-BISA-COD-Dari-Jakarta-(FREE-SYAL)-Tas-Selempang-Handbag-Wanita-i.135900627.4917172531?sp_atk=58403939-ca37-4919-b1c6-beecab2ec958,OSM,-,SK,-
IOSM,D1179,TAS RANSEL ANAK ANAK KARAKTER,D1179 TAS RANSEL ANAK ANAK KARAKTER,13038,18400,https://shopee.co.id/-IMPOR--D1179-Tas-Ransel-Anak-Anak-Karakter-TasSekolah-Backpack-Tas-Import-i.135900627.6617402903?sp_atk=2a287164-8c4f-49ad-8fad-c38de073a69d,OSM,https://shopee.co.id/OSM-R278-Tas-Ransel-Anak-Anak-Karakter-Tas-Anak-Kecil-TasSekolah-Backpack-Tas-Import-Batam-i.26616655.1926320372?sp_atk=9ba2b2b6-9db0-4f4d-9440-a771c3c1f369,SK,-
IOSM,D1240,TAS SLEMPANG PRIA KULIT TAS DADA TAS USB,D1240 TAS SLEMPANG PRIA KULIT TAS DADA TAS USB,25000,27999,https://shopee.co.id/-IMPOR--D1240-Tas-Slempang-Pria-Kulit-Tas-Dada-Tas-USB-Port-Tas-Slingbag-Tas-Pria-i.135900627.3622193950?sp_atk=cd92ba51-a2cc-429a-ab33-32a2888ccbaa,OSM,-,SK,-
IOSM,D1286,TRAVEL POUCH LINE BROWN ORGANIZER L,D1286 TRAVEL POUCH LINE BROWN ORGANIZER L,658,960,-,OSM,-,SK,https://shopee.co.id/ONE-C33-Travel-Pouch-Organizer-Bag-Serbaguna-Tempat-Penyimpanan-Alat-Make-Up-Tas-Serut-Kosmeti-i.265593587.6440766047?sp_atk=cd9ae83d-20c0-468c-86cf-1140b200b0da
IOSM,D1286,TRAVEL POUCH LINE BROWN ORGANIZER M,D1286 TRAVEL POUCH LINE BROWN ORGANIZER M,585,920,-,OSM,-,SK,https://shopee.co.id/ONE-C33-Travel-Pouch-Organizer-Bag-Serbaguna-Tempat-Penyimpanan-Alat-Make-Up-Tas-Serut-Kosmeti-i.265593587.6440766047?sp_atk=cd9ae83d-20c0-468c-86cf-1140b200b0da
IOSM,D1286,TRAVEL POUCH LINE BROWN ORGANIZER S,D1286 TRAVEL POUCH LINE BROWN ORGANIZER S,539,780,-,OSM,-,SK,https://shopee.co.id/ONE-C33-Travel-Pouch-Organizer-Bag-Serbaguna-Tempat-Penyimpanan-Alat-Make-Up-Tas-Serut-Kosmeti-i.265593587.6440766047?sp_atk=cd9ae83d-20c0-468c-86cf-1140b200b0da
IOSM,D1297,DOMPET LIPAT MINI TANDUK RUSA CEWEK,D1297 DOMPET LIPAT MINI TANDUK RUSA CEWEK,9796,10482,https://shopee.co.id/-IMPOR--D1297-Dompet-Lipat-Mini-Tanduk-Rusa-Cewek-Dompet-Cewek-Dompet-Fashion-Import-i.135900627.6833320140?sp_atk=b821a3c1-25c9-4928-84b2-921a5af5646d,OSM,https://shopee.co.id/OSM-D320-Dompet-Lipat-Mini-Tanduk-Rusa-Cewek-Dompet-Cewek-Dompet-Fashion-Import-Batam-i.26616655.2333818595?sp_atk=2a9a0e41-cc85-4634-bdf6-6fee69ccbd0b,SK,-
IOSM,D1298,MICKEY IMPORT SHOULDER BAG,D1298 MICKEY IMPORT SHOULDER BAG,35178,38999,https://shopee.co.id/-IMPOR--D1298-MICKEY-IMPORT-Shoulder-Bag-Tas-Kanvas-Totebag-Tas-Tengteng-i.135900627.5233377112?sp_atk=99936145-a985-40fe-ab6d-7bebac140950,OSM,-,SK,-
IOSM,D1374,DOMPET KARTU CUTIE RIBBON D061 CARD,D1374 DOMPET KARTU CUTIE RIBBON D061 CARD,1134,2349,https://shopee.co.id/-IMPOR--D1374-Dompet-Kartu-Cutie-Ribbon-D061-Card-WALLET-i.135900627.3353902481?sp_atk=2e2dc1fe-3fba-403f-aea4-298b0cd60520,OSM,https://shopee.co.id/OSM-D061-DompetKartu-CuttieRibbon-Dompet-Wanita-14-Kartu-Souvenir-Pernikahan-dan-acara-lain-i.26616655.1414673953?sp_atk=6aa48275-136f-45cc-b154-92e155379cf4,SK,-
IOSM,D1542,TAS 66,D1542 TAS 66,24210,26900,https://shopee.co.id/DOMMO-D1542-Tas-66-Shoulder-Bag-Tas-Wanita-Tas-Tengteng-Tas-Tote-ToteBag-i.135900627.21215561011?sp_atk=7a51a587-180e-4de4-9cd3-398cb8c08359&xptdk=7a51a587-180e-4de4-9cd3-398cb8c08359,OSM,-,SK,-
