konveksi,kodebarang,namabarang,deskripsi,hargamodal,dailyprice,anama,alink,bnama,blink,cnama,clink,dnama,dlink,aclick1,aclick2,aclick3,bclick1,bclick2,bclick3,cclick1,cclick2,cclick3,dclick1,dclick2,dclick3
MAULSANDAL,D5010,EVA JELLY,D5010 - EVA JELLY,3600,4500,DOMMO,https://shopee.co.id/-LOKAL-DOMMO-D5010-HARGA-SPECIAL-Sandal-Wanita-Jepit-Eva-Jelly-Champaion-i.135900627.6023713378?sp_atk=6eaf89b2-5812-4420-8fc0-3c318112b696&xptdk=6eaf89b2-5812-4420-8fc0-3c318112b696,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
MAULSANDAL,D5012,SANDAL PINEAPPLE,D5012 - SANDAL PINEAPPLE,3700,4500,DOMMO,https://shopee.co.id/-LOKAL--D5012-SENDAL-NANAS-HARGA-SPECIAL-SANDAL-JEPIT-PINEAPPLE-NANAS-i.135900627.7723716077?sp_atk=711c0618-87bf-4dba-aff2-e4205abca96b,DAFFA WAHYU,https://shopee.co.id/Sandal-Jepit-SGC-13-Pinnaple-i.8938041.7003659024?sp_atk=94df5f4c-1013-4741-84da-96914dd8dcac,JURAGAN SEPATU,,,,,,,,,,,,,,,
MAULSANDAL,D5013,SANDAL PANTAI,D5013 - SANDAL PANTAI,3700,4500,DOMMO,https://shopee.co.id/-LOKAL--D5013-Sendal-Love-Sign-HARGA-SPECIAL-Sandal-Jepit-Pantai-Fashion-i.135900627.4723719119?sp_atk=ab92bf77-5fc8-4ef9-9569-bdbbd5afd4ed,DAFFA WAHYU,https://shopee.co.id/SGC-02-SANDAL-JEPIT-BEST-SELLER-i.8938041.2874833441?sp_atk=a7f67c9c-063d-4f61-b859-8a0c8486afdf,JURAGAN SEPATU,,,,,,,,,,,,,,,
MAULSANDAL,D5015,SANDAL FLIPFLOP,D5015 - SANDAL FLIPFLOP,3700,4500,DOMMO,https://shopee.co.id/-LOKAL--D5015-HARGA-SPECIAL-SANDAL-bingostyle-FLIP-FLOP-GARIS-i.135900627.5523721097?sp_atk=0e7e794d-d27a-4f9f-86f1-58f45c499d08,DAFFA WAHYU,https://shopee.co.id/SANDAL-SGC-01-SANDAL-SANTAI-EVA-JELLY-i.8938041.2844495939?sp_atk=51087bc0-f972-4ee0-a6cc-84d36df55eb4,JURAGAN SEPATU,https://shopee.co.id/SANDAL-bingostyle-FLIP-FLOP-GARIS-i.10123774.6304894869?sp_atk=d978073a-93d8-4993-9f92-8dde04a2931c,,,,,,,,,,,,,,
MAULSANDAL,D5017,SANDAL STRAWBERRY,D5017 - SANDAL STRAWBERRY,3700,4500,DOMMO,https://shopee.co.id/-LOKAL--D5017-HARGA-SPECIAL-Sandal-Flip-flop-STRAWBERRY-i.135900627.4523726092?sp_atk=9156528c-e560-4896-a2e9-6ee0484a270a,DAFFA WAHYU,https://shopee.co.id/SGC-17-FLIP-FLOP-STRAWBERRY-JELLY-EVA-i.8938041.4604534568?sp_atk=e7338f45-e1de-42d8-b551-5c9bb234753f,JURAGAN SEPATU,https://shopee.co.id/12.12-Sale-Sandal-Flip-flop-STRAWBERRY-i.10123774.7209891719?sp_atk=3902de6b-ca12-4ce9-9f51-b8028390c238,,,,,,,,,,,,,,
MAULSANDAL,D5018,SANDAL PANDA,D5018 - SANDAL PANDA,3700,4500,DOMMO,https://shopee.co.id/-LOKAL-DOMMO-D5018-HARGA-SPECIAL-Sandal-Jepit-Slipper-Motif-PANDA-promo-New-i.135900627.3423823871?sp_atk=baed9f16-1f17-4a63-8af7-55c8bdb12b8b&xptdk=baed9f16-1f17-4a63-8af7-55c8bdb12b8b,DAFFA WAHYU,https://shopee.co.id/SGC-14-FLIP-FLOP-PANDA-EVA-JELLY-i.8938041.6003658769?sp_atk=45d82376-ea7a-4b47-a2eb-0e43ba4341b2,JURAGAN SEPATU,,,,,,,,,,,,,,,
MAULSANDAL,D5019,SANDAL KELINCI,D5019 - SANDAL KELINCI,3700,4500,DOMMO,https://shopee.co.id/-LOKAL--D5031-SANDAL-RABBIT-SENDAL-KELINCI-LUCU-SANDAL-WANITA-MOTIF-RABBIT-MORYMONY-i.135900627.6925263718?sp_atk=e0cf10d0-97c6-411a-b8ca-0791a9c6b97d,DAFFA WAHYU,https://shopee.co.id/SGC-15-FLIP-FLOP-RABBIT-EVA-JELLY-i.8938041.6503658345?sp_atk=c32d44c8-8616-496b-9b7c-8012e2e7fc4e,JURAGAN SEPATU,,,,,,,,,,,,,,,
MAULSANDAL,D5020,SANDAL KUCING,D5020 - SANDAL KUCING,3700,4299,DOMMO,https://shopee.co.id/-LOKAL-DOMMO-D5020-sandal-spon-wanita-kucing-bulan-i.135900627.5823729699?sp_atk=18136ee0-b4f2-4264-a6eb-ac47503436c3&xptdk=18136ee0-b4f2-4264-a6eb-ac47503436c3,DAFFA WAHYU,,JURAGAN SEPATU,https://shopee.co.id/SANDAL-WANITA-JEPIT-SPON-PELANGI-KUCING-i.128771720.3213177120?sp_atk=3af2b274-9d07-46c6-ae02-e2597bf5aef8&xptdk=3af2b274-9d07-46c6-ae02-e2597bf5aef8,,,,,,,,,,,,,,
MAULSANDAL,D5031,SANDAL RABBIT,D5031 SANDAL RABBIT,3700,4299,DOMMO,https://shopee.co.id/-LOKAL-DOMMO-D5031-SANDAL-RABBIT-SENDAL-KELINCI-LUCU-SANDAL-WANITA-MOTIF-RABBIT-MORYMONY-i.135900627.6925263718?sp_atk=dba3376b-5814-4b26-bfde-ba802a328715&xptdk=dba3376b-5814-4b26-bfde-ba802a328715,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
MAULSANDAL,D5032,UNICORN,D5032 - UNICORN,3700,4500,DOMMO,https://shopee.co.id/-LOKAL--D5032-Strip-tipis-versi-Korea-dari-unicorn-kartun-sandal-jepit-i.135900627.5829163489?sp_atk=34f34b6a-8dfe-44d9-990f-5b290f731e46,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
