konveksi,kodebarang,namabarang,deskripsi,hargamodal,dailyprice,anama,alink,bnama,blink,cnama,clink,dnama,dlink,aclick1,aclick2,aclick3,bclick1,bclick2,bclick3,cclick1,cclick2,cclick3,dclick1,dclick2,dclick3
SANDI,D1064,DOMPET HAMLE,D1064 DOMPET HAMLE,8910,10699,DOMMO,https://shopee.co.id/-LOKAL--D1064-DOMPET-HAMLE-Dompet-Lipat-Wanita-MORYMONY-(Free-Tali-Panjang)-i.135900627.6009566130?sp_atk=aadf4b18-c39f-4523-a4bb-b8b613e45de7,MORY MONY,https://shopee.co.id/MORYMONY-DOMPET-HAMLE-Dompet-Lipat-Wanita-(Free-Tali-Panjang)-i.20287667.1735496240?sp_atk=0719adc2-d5f8-4cd4-8788-90aedfa057d9,REYRESHY,https://shopee.co.id/RR-DOMPET-HAMLE-Dompet-Lipat-Wanita-(Free-Tali-Panjang)-i.154549401.3701495662?sp_atk=b1fa3743-be0b-47df-aee0-a4a6a4504e62,,,,,,,,,,,,,,
SANDI,D1065,DOMPET BIANCA MINI,D1065 DOMPET BIANCA MINI,9000,9999,DOMMO,https://shopee.co.id/-LOKAL--D1065-DOMPET-MINI-SLOT-VIOLA-BIANCA-MINI-Dari-Jakarta-morymony-i.135900627.7709615378?sp_atk=38fbf568-b54b-41f1-aa9e-cde0917ca559,MORY MONY,https://shopee.co.id/MORYMONY-MINI-SLOT-Dompet-Lipat-Wanita-i.20287667.920584383?sp_atk=15e043c3-96f8-4e69-883f-5906213c4f68,REYRESHY,,,,,,,,,,,,,,,
SANDI,D1072,TAS MILEA,D1072 TAS MILEA,13050,16199,DOMMO,https://shopee.co.id/-LOKAL--D1072-TAS-MILEA-Tas-Ransel-Backpack-(Bisa-Ransel-Bisa-Selempang)-MORYMONY-i.135900627.7309583284?sp_atk=a0b6f31f-86df-4698-8ea8-6563cdb74c4d,MORY MONY,https://shopee.co.id/MORYMONY-TAS-MILEA-Tas-Ransel-Backpack-(-Bisa-Ransel-Bisa-Selempang-)-i.20287667.1873407400?sp_atk=99bfe0a7-b52d-47cf-b672-e1b3ba752021,REYRESHY,https://shopee.co.id/RR-TAS-MILEA-Tas-Ransel-Backpack-(Bisa-Ransel-Bisa-Selempang)-i.154549401.6638051789?sp_atk=0e15607b-774c-441f-b2e0-4607f3788c23,,,,,,,,,,,,,,
SANDI,D1073,BIANCA BESAR,D1073 BIANCA BESAR,10350,11075,DOMMO,https://shopee.co.id/-LOKAL--D1073-BIANCA-BESAR-Dompet-Panjang-Wanita-MORYMONY-BISA-COD-JAKARTA-i.135900627.6008649637?sp_atk=092aa52b-eedc-46c3-be6d-798a6116a06d,MORY MONY,,REYRESHY,,,,,,,,,,,,,,,
SANDI,D1075,DOMPET NONAME,D1075 DOMPET NONAME,9360,10999,DOMMO,https://shopee.co.id/-LOKAL--D1075-DOMPET-NONAME-Dompet-Lipat-Wanita-MORYMONY-BISA-COD-i.135900627.7508635800?sp_atk=b2342264-31c4-4c73-b0d5-71a92c237ffd,MORY MONY,https://shopee.co.id/MORYMONY-DOMPET-NONAME-Dompet-Panjang-Wanita-i.20287667.606436070?sp_atk=dac5794c-ffab-410b-8cc4-de3a4e2b3bd4,REYRESHY,https://shopee.co.id/RR-DOMPET-NONAME-Dompet-Lipat-Wanita-i.154549401.7651422687?sp_atk=3081f526-39cd-4b0d-9f25-b32df0a88b52,,,,,,,,,,,,,,
SANDI,D1077,DOMPET ALEXA,D1077 DOMPET ALEXA,7200,9000,DOMMO,https://shopee.co.id/product/135900627/7108640331/,MORY MONY,https://shopee.co.id/MORYMONY-DOMPET-ALEXA-Dompet-Lipat-Mini-Wanita-i.20287667.2057880096?sp_atk=41d06f2b-3310-41a1-8da4-b72c8f38ebd1,REYRESHY,,,,,,,,,,,,,,,
SANDI,D1084,DOMPET ALEESHA MINI,D1084 DOMPET ALEESHA MINI,8100,10500,DOMMO,https://shopee.co.id/product/135900627/5308645297/,MORY MONY,https://shopee.co.id/MORYMONY-DOMPET-PITA-LIPAT-Dompet-Lipat-Mini-i.20287667.926159335?sp_atk=f8e419e3-95c6-43db-9003-c3328081f458,REYRESHY,https://shopee.co.id/RR-PITA-LIPAT-Dompet-Lipat-Mini-i.154549401.6342917942?sp_atk=5b53fc5c-30f9-4238-bda7-dbc3adedb553,,,,,,,,,,,,,,
SANDI,D1092,DOMPET ALEESHA,D1092 DOMPET ALEESHA,10035,12500,DOMMO,https://shopee.co.id/-LOKAL--D1092-DOMPET-ALEESHA-Dompet-Panjang-Wanita-MORYMONY-BISA-COD-DARI-JAKARTA-i.135900627.6708620464?sp_atk=ebce6058-052d-4209-b074-cccdc538031f,MORY MONY,https://shopee.co.id/MORYMONY-ALEESHA-Dompet-Lipat-Wanita-i.20287667.991988255?sp_atk=58d3e3ae-3c7a-4e1a-bfcd-012c8e268f38,REYRESHY,,,,,,,,,,,,,,,
SANDI,D1095,DOMPET KINANTI,D1095 DOMPET KINANTI,9000,11000,DOMMO,https://shopee.co.id/product/135900627/6608625875/,MORY MONY,https://shopee.co.id/MORYMONY-DOMPET-DAUN-MINI-Dompet-Lipat-Mini-i.20287667.922394800?sp_atk=7be3bb66-b155-43e1-9d05-ec7ab544f81c,REYRESHY,https://shopee.co.id/RR-DOMPET-DAUN-MINI-Dompet-Lipat-Wanita-i.154549401.7163787369?sp_atk=6c981de4-b39d-4f1e-a917-d9433ecea908,,,,,,,,,,,,,,
SANDI,D1097,DOMPET FLOWER,D1097 DOMPET FLOWER,8950,11899,DOMMO,https://shopee.co.id/-LOKAL--D1097-DOMPET-FLOWER-BISA-BAYAR-DI-TEMPAT-COD-Dompet-Lipat-Wanita-i.135900627.6614973291?sp_atk=fc741e0d-fdbe-4bb6-b008-6b69e76247b4,MORY MONY,https://shopee.co.id/MORYMONY-DOMPET-FLOWER-Dompet-Lipat-Wanita-i.20287667.644432797?sp_atk=effa8fc3-cbfb-4f7d-813f-70798824a3bb,REYRESHY,https://shopee.co.id/RR-DOMPET-FLOWER-Dompet-Lipat-Wanita-i.154549401.7944296506?sp_atk=85d05998-89d2-4c66-b810-5a62d55f92d5,,,,,,,,,,,,,,
