konveksi,kodebarang,namabarang,deskripsi,hargamodal,dailyprice,linkproduk,anamapesaing,alinkpesaing,bnamapesaing,blinkpesaing
BOGOR,D1000,TOTEBAG ALICE,D1000 TOTEBAG ALICE,4000,4465,https://shopee.co.id/-LOKAL--D1000-Totebag-ALICE-BISA-COD-FYG-TAS-TOTE-BAG-TAS-WANITA-DARI-JAKARTA-i.135900627.2053489534?sp_atk=3466b1f5-6e9a-4ceb-984c-f4c2ec64c1d0,MORY MONY,https://shopee.co.id/RR-TOTE-BAG-ALICE-MINI-i.154549401.7301389994?sp_atk=9fcd86ec-c897-4023-9e1c-c2588ad9cf06&xptdk=9fcd86ec-c897-4023-9e1c-c2588ad9cf06,REYRESHY,https://shopee.co.id/RR-TOTE-BAG-ALICE-MINI-i.154549401.7301389994?sp_atk=6770af19-466e-4abb-ae2c-ae6bbbf16bcb&xptdk=6770af19-466e-4abb-ae2c-ae6bbbf16bcb
BOGOR,D1012,TAS MINI PETAK,D1012 TAS MINI PETAK,5000,5500,https://shopee.co.id/-LOKAL--D1012-Tas-Mini-Petak-Tas-Selempang-Tas-Tote-Bag-i.135900627.2060297469?sp_atk=383566d6-e402-4692-ac60-7f6852c55230,MORY MONY,-,REYRESHY,https://shopee.co.id/FYGALERY-FYG1140-Tas-Selempang-Perempuan-Slingbag-Polos-Fashion-Wanita-Sling-Bag-Korea-Murah-i.11184349.1104716811?sp_atk=e382bbe4-e24a-49e9-9325-725b8185f77d&xptdk=e382bbe4-e24a-49e9-9325-725b8185f77d
BOGOR,D1020,TAS NIA,D1020 TAS NIA,11500,12500,https://shopee.co.id/-LOKAL--D1020-BISA-COD-BAYAR-DITEMPAT-TAS-FASHION-TAS-WANITA-Dari-Jakarta-MORYMONY-i.135900627.2060297501?sp_atk=dc3a2da2-a9d1-44b0-b3a8-facbe3e4dee1,MORY MONY,https://shopee.co.id/MORYMONY-NIA-Tas-Selempang-Wanita-i.20287667.6400193845?sp_atk=26c3dac7-6a4e-47d8-b92a-0f9cd25b7654,REYRESHY,https://shopee.co.id/Tas-Nia-selempang-mini-rantai-motif-serat-kayu-i.14816430.5887017296?sp_atk=f653bc9a-f443-4e1a-ac0b-e240099ad695&xptdk=f653bc9a-f443-4e1a-ac0b-e240099ad695
BOGOR,D1025,HNM Tas Korea Clutch Sligbang,D1025 HNM Tas Korea Clutch Sligbang,9000,9999,https://shopee.co.id/-LOKAL--D1025-BISA-COD-BAYAR-DITEMPAT-Tas-Korea-Clutch-Sligbang-Morymony-JKT-i.135900627.2304813663?sp_atk=55b8e17d-f824-4078-be07-79af79114554,MORY MONY,-,REYRESHY,-
BOGOR,D1026,ZANET ADA PEREKAT,D1026 ZANET ADA PEREKAT,4300,5500,https://shopee.co.id/-LOKAL--D1026-ZANET-ADA-RESLETING-Dari-JKT-Jakarta-BISA-COD-TAS-TOTE-BAG-WANITA-SLEMPANG-i.135900627.2312930347?sp_atk=ff28d140-0ee3-48cf-ac4f-7d97980de401,MORY MONY,-,REYRESHY,https://shopee.co.id/RR-ZANET-Tote-Bag-Wanita-i.154549401.3437832666?sp_atk=351f9a54-94a2-45e6-8361-6b85fa7d403b
BOGOR,D1026,ZANET ADA RESLETING,D1026 ZANET ADA RESLETING,5000,6000,https://shopee.co.id/-LOKAL--D1026-ZANET-ADA-RESLETING-Dari-JKT-Jakarta-BISA-COD-TAS-TOTE-BAG-WANITA-SLEMPANG-i.135900627.2312930347?sp_atk=ff28d140-0ee3-48cf-ac4f-7d97980de401,MORY MONY,https://shopee.co.id/RR-ZANET-Tote-Bag-Wanita-Pakai-Resleting-i.154549401.3437832666?sp_atk=798bb02d-308c-4f65-a61b-0100b2296bd8&xptdk=798bb02d-308c-4f65-a61b-0100b2296bd8,REYRESHY,https://shopee.co.id/RR-ZANET-Tote-Bag-Wanita-Pakai-Resleting-i.154549401.3437832666?sp_atk=da80397b-5491-4861-b532-464c14e0de6b&xptdk=da80397b-5491-4861-b532-464c14e0de6b
BOGOR,D1027,POCKET BROWN CHIP,D1027 POCKET BROWN CHIP,5000,7500,https://shopee.co.id/product/135900627/2312940145/,MORY MONY,-,REYRESHY,-
BOGOR,D1028,TOTEBAG BROWNIE,D1028 TOTEBAG BROWNIE,4300,4999,https://shopee.co.id/product/135900627/2352734384/,MORY MONY,-,REYRESHY,https://shopee.co.id/TAS_BDG-TOTEBAG-(RESLETING)-BROWNIE-i.28516198.3892785713?sp_atk=3088cc1d-560e-4dfa-92ac-d5cf57e77bf6&xptdk=3088cc1d-560e-4dfa-92ac-d5cf57e77bf6
BOGOR,D1029,DAYS RESLETING,D1029 DAYS RESLETING,3480,3999,https://shopee.co.id/-LOKAL--D1029-DAYS-Dari-Jakarta-BISA-COD-ToteBag-DAILY-TOTE-BAG-NAMA-HARI-Morymony-i.135900627.2377229917?sp_atk=ca6eca2f-c866-4813-9699-921081b75b4f,MORY MONY,https://shopee.co.id/MORYMONY-DAYS-Tas-Tote-Wanita-i.20287667.6204641426?sp_atk=37ffac06-09cd-43db-89ae-6c642e1a62e2&xptdk=37ffac06-09cd-43db-89ae-6c642e1a62e2,REYRESHY,https://shopee.co.id/RR-DAYS-Tas-Tote-Wanita-i.154549401.6837766129?sp_atk=322bf315-963c-4650-b1d0-b274d4fbe770
BOGOR,D1030,TAS CLUTCH MINI SLINGBAG,D1030 TAS CLUTCH MINI SLINGBAG,7530,8999,https://shopee.co.id/-LOKAL--D1030-Dari-Jakarta-BISA-COD-Tas-Korea-Clutch-Mini-Sligbang-(KECIL)-morymony-i.135900627.2591894885?sp_atk=479d0794-0c1e-4b0b-8911-120e7f8d7489,MORY MONY,-,REYRESHY,-
BOGOR,D1032,TAS SERUT MINI,D1032 TAS SERUT MINI,8700,10999,https://shopee.co.id/-LOKAL--D1032-TAS-SERUT-Mini-dari-Jakarta-BISA-COD-TAS-SELEMPANG-MORYMONY-i.135900627.2441823307?sp_atk=6362cf97-282a-4a60-a333-1971e73faca7,MORY MONY,-,REYRESHY,-
BOGOR,D1034,NEKO CAT TOTE BAG,D1034 NEKO CAT TOTE BAG,6000,7500,https://shopee.co.id/product/135900627/2496787061/,MORY MONY,https://shopee.co.id/MORYMONY-NEKO-Tote-Bag-Wanita-i.20287667.7300155627?sp_atk=5a9f8386-eda9-4ffa-8883-c5a3c51b4e57,REYRESHY,-
BOGOR,D1037,CERES,D1037 CERES,4100,4999,https://shopee.co.id/-LOKAL--D1037-CERES-TAS-TOTEBAG-WANITA-Dari-Jakarta-BISA-COD-SHOULDER-BAG-MORYMONY-i.135900627.2496928042?sp_atk=c5635a72-1512-4982-b4c8-c4dce5fac161,MORY MONY,https://shopee.co.id/MORYMONY-WIGGY-Tas-Tote-Bag-Wanita-Totebag-CERES-i.20287667.6000451527?sp_atk=ad5b696d-8cb6-4041-ae11-597acd726a35,REYRESHY,https://shopee.co.id/MyTotebag's-Tas-Totebag-Motif-Garis-Ceres-Sudah-Memakai-Resleting-i.92682541.1995313859?sp_atk=8657bbdf-f6e0-4ff8-b987-c78742d0b448&xptdk=8657bbdf-f6e0-4ff8-b987-c78742d0b448
BOGOR,D1038,SHUT UP PEREKAT,D1038 SHUT UP PEREKAT,3000,3333,https://shopee.co.id/-LOKAL--D1038-SHUT-UP-Dari-Jakarta-BISA-COD-TAS-TOTEBAG-WANITA-SHUTUP-MORYMONY-i.135900627.2496966034?sp_atk=7e810198-f75e-4ed9-b182-62ffa7a44777,MORY MONY,https://shopee.co.id/MORYMONY-TOTE-BAG-SHUT-UP-Tas-Tote-Bag-Wanita-i.20287667.2695053738?sp_atk=d8903dd5-991f-4276-b4f8-f3d46cf0e823,REYRESHY,-
BOGOR,D1038,SHUT UP RESLETING,D1038 SHUT UP RESLETING,4100,4999,https://shopee.co.id/-LOKAL--D1038-SHUT-UP-Dari-Jakarta-BISA-COD-TAS-TOTEBAG-WANITA-SHUTUP-MORYMONY-i.135900627.2496966034?sp_atk=7e810198-f75e-4ed9-b182-62ffa7a44777,MORY MONY,-,REYRESHY,-
