konveksi,kodebarang,namabarang,deskripsi,hargamodal,dailyprice,anama,alink,bnama,blink,cnama,clink,dnama,dlink,aclick1,aclick2,aclick3,bclick1,bclick2,bclick3,cclick1,cclick2,cclick3,dclick1,dclick2,dclick3
TATA,D5001,SEPATU VENOM,D5001 SEPATU VENOM,17480,19999,DOMMO,https://shopee.co.id/-LOKAL--D5001-SEPATU-VENOM-Sepatu-Sneaker-Shoes-MORYMONY-BISA-COD-DARI-JAKARTA-i.135900627.5109618947?sp_atk=746ec2a3-50c4-49c2-ae57-6c2a5852c2f2,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5002,VEGASUS,D5002 VEGASUS,16744,18999,DOMMO,https://shopee.co.id/-LOKAL--D5002-SEPATU-VEGASUS-VENOM-Sepatu-Sneakers-MORYMONY-BISA-COD-DARI-JAKARTA-i.135900627.3410345335?sp_atk=011dba06-4f90-4b94-bbcf-48380a609bb7,DAFFA WAHYU,,JURAGAN SEPATU,https://shopee.co.id/SEPATU-Slip-On-Wanita-Venom-Vegasus-i.10123774.1870201734?sp_atk=9ddfa1fe-6f7c-466d-8294-e614b786e5ad,,,,,,,,,,,,,,
TATA,D5003,SEPATU TATA,D5003 SEPATU TATA,12880,13999,DOMMO,https://shopee.co.id/-LOKAL--D5003-SEPATU-TATA-Flatshoes-Wanita-MORYMONY-BISA-COD-DARI-JAKARTA-i.135900627.6608641341?sp_atk=ddabba8d-a9c1-4c09-88f7-5bf474bcfc29,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5004,HILS HAK TAHU,D5004 HILS HAK TAHU,26100,33500,DOMMO,https://shopee.co.id/-LOKAL--D5004-SEPATU-SENDAL-HILS-HILLS-HAK-TAHU-J-05-daffawahyu-i.135900627.5922974523?sp_atk=5c42c814-2ed8-42c4-afc9-8e90a7574efb,DAFFA WAHYU,https://shopee.co.id/PROMO-11.11-SALE-J-05-HILS-HAK-TAHU-BEST-SELLER-i.8938041.2836011675?sp_atk=0a8742e2-5c99-4eb4-9505-9574fc6e7396,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5005,RAINBOW,D5005 RAINBOW,29700,34900,DOMMO,https://shopee.co.id/-LOKAL--D5005-SEPATU-RAINBOW-Sneaker-Wanita-MURAH-morymony-Dar-JAKARTA-i.135900627.4822996657?sp_atk=8e37da85-18b8-44b1-b8c7-0530829f266d,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5006,VIERA,D5006 VIERA,21600,25000,DOMMO,https://shopee.co.id/-LOKAL--D5006-Sepatu-VIERA-Sneaker-Wanita-Sepatu-Sendal-Wanita-daffawahyu-i.135900627.7323077437?sp_atk=3117fbf9-bf58-44fe-a67d-68e51369a80c,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5007,SEPATU MILY,D5007 SEPATU MILY,33215,37500,DOMMO,https://shopee.co.id/-LOKAL--D5007-SEPATU-MILY-Sneaker-Wanita-daffawahyu-morymony-i.135900627.3923185392?sp_atk=d2eeafd9-aaa7-4adb-9d90-8b52e8e468d0,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5021,SNEAKER SOL BERUANG,D5021 SNEAKER SOL BERUANG,27270,31500,DOMMO,https://shopee.co.id/-LOKAL--D5021-HR-02-Sepatu-Sneakers-Sol-Beruang-Wanita-Model-Sport-Flat-Mesh-Kartun-Morymony-i.135900627.4924163001?sp_atk=f013f9b9-7f11-444d-865f-3c1688f2d930,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5023,NINA,D5023 NINA,17100,22500,DOMMO,https://shopee.co.id/-LOKAL--D5023-SENDAL-Nina-Flatshoes-Wanita-Sendal-Morymony-Naomy-i.135900627.6924165626?sp_atk=ded05eb3-15ce-40a2-801e-0943c7128eda,DAFFA WAHYU,https://shopee.co.id/PR-02-FLATSHOES-MORENA-i.8938041.6102542528?sp_atk=d45ff882-a0e7-47ed-960c-85ed0e87a886,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5024,SISKA,D5024 SISKA,17100,19500,DOMMO,https://shopee.co.id/product/135900627/6924168488/,DAFFA WAHYU,https://shopee.co.id/RS13-FLATSHOES-BEST-SELLER-i.8938041.2658452004?sp_atk=c1699548-1c54-479b-99a1-6b389ebdbc4e,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5025,RAMPEL,D5025 RAMPEL,14400,16500,DOMMO,https://shopee.co.id/-LOKAL--D5025-FLATSHOES-RAMPEL-CST-01-FLATSHOES-Wanita-Morymony-sendal-sandal-i.135900627.3925610254?sp_atk=bfee05bc-f98e-4607-bd4d-b5f0d8951e05,DAFFA WAHYU,https://shopee.co.id/CST-01-FLATSHOESE-BEST-SELLER-i.8938041.2863039847?sp_atk=c01198c7-2682-4ffa-8498-5e95b8d32bf3,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5026,LIA,D5026 LIA,17100,20600,DOMMO,https://shopee.co.id/product/135900627/3524285786/,DAFFA WAHYU,https://shopee.co.id/PROMO-11.11-SALE-Sneakers-Wanita-RI-08-i.8938041.4417514672?sp_atk=bb7a997d-6a49-45ea-8a68-019487c6ca2c,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5027,LISNA,D5027 LISNA,15640,19900,DOMMO,https://shopee.co.id/-LOKAL--D5027-SENDAL-LISNA-PR-01-FLATSHOES-WANITA-MORYMONY-FLAT-SHOES-MURAH-SANDAL-i.135900627.6324211571?sp_atk=4d5b289a-cfa4-4ee8-a3d4-3a640a7a6400,DAFFA WAHYU,https://shopee.co.id/PR-01-FLATSHOES-i.8938041.5102542560?sp_atk=a892aa24-8e11-42b4-bab8-a26832d738d2,JURAGAN SEPATU,https://shopee.co.id/Flat-Shoes-Wanita-Liona-i.10123774.3209771282?sp_atk=a01f493e-7d5f-4b7c-b181-93882ae48295,,,,,,,,,,,,,,
TATA,D5028,VELOVE,D5028 VELOVE,28060,31300,DOMMO,https://shopee.co.id/-LOKAL--D5028-SEPATU-VELOVE-Sepatu-Sneaker-DEON-SOL-BULAT-Morymony-i.135900627.5924217244?sp_atk=89cd86d9-2804-4099-a381-325d42ff26cf,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5029,SEPATU VANIA,D5029 SEPATU VANIA,24750,28500,DOMMO,https://shopee.co.id/-LOKAL--D5029-SEPATU-VANIA-RI-09-HR-01-Sneaker-Wanita-Morymony-i.135900627.4724222567?sp_atk=1490389b-3c4d-4b49-87ea-668b5c60ad1a,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5030,BOOT M,D5030 BOOT M,31500,37000,DOMMO,https://shopee.co.id/-LOKAL--D5030-SEPATU-BOOT-M-BOOTS-DV-98-Sepatu-Wanita-Sneakers-M-Fashion-Morymony-i.135900627.5024227872?sp_atk=51960eeb-76ac-4236-a1b4-9d78a91dbce0,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5033,MALTA,D5033 MALTA,12600,20300,DOMMO,https://shopee.co.id/product/135900627/6329741642/,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
